COUNTY,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Grundy,44.23136364,54.25727273,22.09,43.83454545,39.30136364
Guadalupe,40.745,58.444,63.48766667,40.945,48.09933333
Guernsey,70.172,79.442,8.825,57.673,59.532
Guilford,52.01601695,46.83635593,59.92305085,53.85805085,53.24898305
Gulf,61.82,63.40666667,35.54,67.65333333,62.69666667
Gunnison,35.8,30.0425,20.69,61.8075,33.215
Guthrie,36.92333333,70.75333333,20.46,47.08,40.49666667
Gwinnett,48.69725664,32.18663717,79.22053097,36.11973451,47.43902655
Haakon,45.69,90.37,5.73,75.6,56.24
Habersham,60.4575,62.28,44.62125,57.8325,59.6075
Haines,23.1,49.5,39.3,86.3,49.17
Hale,77.49,72.89533333,63.18,68.58533333,79.082
Halifax,73.18142857,76.67428571,45.95857143,59.28,71.48047619
Hall,52.60803922,58.56745098,59.46235294,54.43254902,57.66568627
Hamblen,74.36916667,76.51166667,41.18333333,53.80333333,66.64583333
Hamilton,45.42090909,49.82325069,38.32707989,45.0423416,43.39559229
Hamlin,27.32,59.66,30.3,68.6,43.47
Hampden,57.77708738,64.23349515,59.67961165,51.77621359,58.96961165
Hampshire,40.413,36.35756098,27.12243902,46.62275,34.47825
Hampton,80.574,57.612,47.832,51.992,68.118
Hampton City,53.69939394,57.73848485,51.73636364,46.20333333,53.15424242
Hancock,44.67465753,58.9860274,16.05643836,50.50054795,41.62945205
Hand,20.125,64.525,1.375,40.695,20.9
Hanover,20.56956522,30.03304348,26.23130435,19.13217391,15.81130435
Hansford,67.425,80.415,83.1,52.64,76.22
Hanson,27.83,57.9,7.86,9.37,13.25
Haralson,67.228,83.908,13.53,61.594,62.586
Hardee,75.93333333,62.03166667,70.77333333,68.00666667,76.30166667
Hardeman,84.92285714,78.82857143,40.80571429,60.67857143,77.25285714
Hardin,54.92226415,67.53396226,23.81722222,51.56698113,50.59490566
Harding,42.885,38.8,32.9,50.715,40.185
Hardy,50.59,58.80333333,42.14666667,31.27666667,45.26666667
Harford,28.52035088,37.07017544,30.32035088,34.11385965,26.82087719
Harlan,81.2625,82.96,8.226666667,58.4825,67.705
Harmon,68.43,93.9,64,66.77,80.31
Harnett,69.47962963,59.96814815,57.13037037,56.39777778,66.08407407
Harney,60.77,77.64,26.455,75.985,66.08
Harper,49.792,69.282,42.096,41.818,50.334
Harris,57.70984772,42.78581542,79.79868521,50.7103929,59.37203046
Harrison,62.48365385,68.34634615,32.37828571,53.32509615,57.25230769
Harrisonburg City,58.58909091,24.90818182,63.26181818,63.65272727,54.87090909
Hart,73.824,78.661,24.588,52.433,64.101
Hartford,43.15538117,45.35623318,57.79681614,45.34717489,45.53461883
Hartley,45.56,26.48,72.51,82.22,61.37
Harvey,40.005,72.085,36.19666667,68.52333333,54.93166667
Haskell,79.14285714,82.20285714,51.62571429,58.75428571,76.57142857
Hawaii,50.54242424,62.94,72.43424242,51.16484848,59.94939394
Hawkins,71.13230769,81.94307692,11.92153846,48.34,59.32230769
Hayes,41.62,44.2,33.9,5.72,19.59
Hays,45.1488,25.056,57.7892,57.5808,46.6424
Haywood,57.06952381,68.42904762,27.04952381,51.5847619,52.96809524
Heard,71.13666667,70.8,29.37666667,59.9,63.67333333
Hemphill,64.16,80.69,74.78,86.71,83.21
Hempstead,71.508,87.93,63.08,54.466,73.082
Henderson,53.1231746,66.78412698,31.96015873,51.20079365,52.21571429
Hendricks,27.2652381,45.84238095,25.15714286,26.26571429,23.69666667
Hendry,86.92666667,79.22166667,88.225,91.22666667,94.925
Hennepin,31.1348495,33.10702341,50.51511706,50.89595318,37.51538462
Henrico,38.98968254,44.14634921,54.67666667,34.16714286,38.65507937
Henry,59.2038835,68.4723301,29.86650485,42.06339806,50.68912621
Herkimer,59.53684211,68.70473684,17.90315789,61.83368421,55.77210526
Hernando,63.09022727,69.38863636,36.54954545,36.47363636,52.80068182
Hertford,82.882,79.33,61.644,77.674,84.842
Hettinger,34.065,64.43,11.505,31.19,28.495
Hickman,71.13857143,66.10857143,19.05857143,57.61714286,59.69
Hickory,72.51666667,70.09666667,14.29666667,47.32333333,56.99333333
Hidalgo,85.67122807,76.57868421,95.63561404,63.80315789,88.63447368
Highland,66.997,79.086,11.416,53.385,57.665
Highlands,68.6868,66.8228,55.8048,59.3556,67.1076
Hill,67.01823529,73.26470588,43.68705882,64.41411765,68.00411765
Hillsborough,47.99005025,44.45082707,60.73047619,48.48716792,49.75442211
Hillsdale,59.6925,69.3575,15.6375,65.29666667,56.90583333
Hinds,71.12875,59.65984375,54.3890625,53.49875,64.7025
Hinsdale,33.94,59.43,8.46,49.8,33.05
Hitchcock,44.59,87.61,10.7,64.8,52.5
Hocking,58.69142857,71.81714286,9.647142857,57.97,52.61571429
Hockley,71.57142857,69.84142857,71.32571429,65.63142857,76.21142857
Hodgeman,40.59,44.71,31.13,45.32,38.42
Hoke,79.71125,74.04,73.1925,58.2025,78.6925
Holmes,76.89058824,61.15294118,30.89941176,72.44176471,69.59117647
Holt,35.52857143,67.13857143,10.76857143,50.06571429,36.44
Honolulu,31.16417391,33.1138961,77.22905983,53.47554113,45.49869565
Hood,36.553,50.112,37.868,45.006,39.958
Hood River,49.3175,31.1025,71.43,82.7875,64.5825
Hooker,38.28,72.05,3.17,51,36.36
Hoonah-Angoon,54.88,54.08,40.04,60.91,56.82
Hopewell City,78.205,88.38666667,63.385,54.68333333,79.49833333
Hopkins,62.0947619,77.38,29.68095238,51.3047619,58.43619048
Horry,53.71140845,60.28802817,36.50971831,45.46760563,49.69676056
Hot Spring,70.54857143,81.38714286,28.58571429,51.20714286,63.63571429
Hot Springs,31.065,53.86,13.99,71.02,40.1
Houghton,58.802,53.016,19.064,68.756,52.965
Houston,61.37216667,70.86033333,41.026,54.389,60.15366667
Howard,32.65854167,45.8221875,52.52510417,38.9809375,37.25552083
Howell,67.42125,86.6425,10.67,62.19125,63.26875
